Locality Name,Income Limit Type,Affordable Housing Baseline Estimate,Three Year Commitment Estimate,Annualized Commitment Estimate
Montrose County (Unincorporated),"Neighboring AMI - Grand County, UT, San Juan County, UT",1031,93,31
Montrose County (Unincorporated),Neighboring AMI - Gunnison County,1025,93,31
Montrose County (Unincorporated),Neighboring AMI - Ouray County,1025,93,31
Montrose County (Unincorporated),Neighboring AMI - San Miguel County,1430,129,43
Montrose County (Unincorporated),Own AMI - Montrose County,1031,93,31
Montrose County (Unincorporated),State Median Income,1025,93,31
Monument Town,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",272,25,9
Monument Town,"Neighboring AMI - Douglas County, Elbert County",584,53,18
Monument Town,Neighboring AMI - Teller County,269,25,9
Monument Town,Own AMI - El Paso County,268,25,9
Monument Town,State Median Income,269,25,9
Morgan County (Unincorporated),Neighboring AMI - Adams County,724,66,22
Morgan County (Unincorporated),"Neighboring AMI - Logan County, Morgan County, Washington County",485,44,15
Morgan County (Unincorporated),Neighboring AMI - Weld County,703,64,22
Morgan County (Unincorporated),Own AMI - Morgan County,485,44,15
Morgan County (Unincorporated),State Median Income,482,44,15
Morrison Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",11,1,1
Morrison Town,Neighboring AMI - Boulder County,11,1,1
Morrison Town,Neighboring AMI - Teller County,5,1,1
Morrison Town,Own AMI - Jefferson County,11,1,1
Morrison Town,State Median Income,5,1,1
Mount Crested Butte Town,"Neighboring AMI - Chaffee County, Delta County, Hinsdale County, Mesa County, Montrose County, Saguache County",73,7,3
Mount Crested Butte Town,Neighboring AMI - Ouray County,73,7,3
Mount Crested Butte Town,Neighboring AMI - Pitkin County,96,9,3
Mount Crested Butte Town,Own AMI - Gunnison County,73,7,3
Mount Crested Butte Town,State Median Income,73,7,3
Mountain View Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",70,7,3
Mountain View Town,Neighboring AMI - Boulder County,69,7,3
Mountain View Town,Neighboring AMI - Teller County,38,4,2
Mountain View Town,Own AMI - Jefferson County,70,7,3
Mountain View Town,State Median Income,38,4,2
Mountain Village Town,"Neighboring AMI - Dolores County, Montrose County, San Juan County",281,26,9
Mountain Village Town,Neighboring AMI - Ouray County,280,26,9
Mountain Village Town,"Neighboring AMI - San Juan County, UT",281,26,9
Mountain Village Town,Own AMI - San Miguel County,336,31,11
Mountain Village Town,State Median Income,280,26,9
Naturita Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",63,6,2
Naturita Town,"Neighboring AMI - Grand County, UT, San Juan County, UT",63,6,2
Naturita Town,Neighboring AMI - Gunnison County,63,6,2
Naturita Town,Neighboring AMI - Ouray County,63,6,2
Naturita Town,Neighboring AMI - San Miguel County,68,7,3
Naturita Town,Own AMI - Montrose County,63,6,2
Naturita Town,State Median Income,63,6,2
Nederland Town,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",139,13,5
Nederland Town,Neighboring AMI - Grand County,71,7,3
Nederland Town,Neighboring AMI - Larimer County,128,12,4
Nederland Town,Neighboring AMI - Weld County,128,12,4
Nederland Town,Own AMI - Boulder County,138,13,5
Nederland Town,State Median Income,71,7,3
New Castle Town,Neighboring AMI - Eagle County,368,34,12
New Castle Town,"Neighboring AMI - Grand County, UT",194,18,6
New Castle Town,Neighboring AMI - Mesa County,194,18,6
New Castle Town,Neighboring AMI - Pitkin County,289,27,9
New Castle Town,Neighboring AMI - Rio Blanco County,194,18,6
New Castle Town,Neighboring AMI - Routt County,293,27,9
New Castle Town,"Neighboring AMI - Uintah County, UT",194,18,6
New Castle Town,Own AMI - Garfield County,216,20,7
New Castle Town,State Median Income,193,18,6
Northglenn City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",3507,316,106
Northglenn City,"Neighboring AMI - Adams County, Broomfield County",3507,316,106
Northglenn City,Neighboring AMI - Boulder County,3461,312,104
Northglenn City,"Neighboring AMI - Kimball County, NE",1029,93,31
Northglenn City,"Neighboring AMI - Laramie County, WY",1738,157,53
Northglenn City,Neighboring AMI - Larimer County,2260,204,68
Northglenn City,"Neighboring AMI - Logan County, Morgan County",1176,106,36
Northglenn City,"Neighboring AMI - Morgan County, Washington County",1176,106,36
Northglenn City,Neighboring AMI - Weld County,2301,208,70
Northglenn City,Own AMI - Adams County,3507,316,106
Northglenn City,Own AMI - Weld County,2301,208,70
Northglenn City,State Median Income,1164,105,35
Norwood Town,"Neighboring AMI - Dolores County, Montrose County, San Juan County",46,5,2
Norwood Town,Neighboring AMI - Ouray County,46,5,2
Norwood Town,"Neighboring AMI - San Juan County, UT",46,5,2
Norwood Town,Own AMI - San Miguel County,76,7,3
Norwood Town,State Median Income,46,5,2
Nucla Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",100,9,3
Nucla Town,"Neighboring AMI - Grand County, UT, San Juan County, UT",100,9,3
Nucla Town,Neighboring AMI - Gunnison County,100,9,3
Nucla Town,Neighboring AMI - Ouray County,100,9,3
Nucla Town,Neighboring AMI - San Miguel County,109,10,4
Nucla Town,Own AMI - Montrose County,100,9,3
Nucla Town,State Median Income,100,9,3
Nunn Town,"Neighboring AMI - Adams County, Broomfield County",33,3,1
Nunn Town,Neighboring AMI - Boulder County,33,3,1
Nunn Town,"Neighboring AMI - Kimball County, NE",17,2,1
Nunn Town,"Neighboring AMI - Laramie County, WY",22,2,1
Nunn Town,Neighboring AMI - Larimer County,33,3,1
Nunn Town,"Neighboring AMI - Logan County, Morgan County",21,2,1
Nunn Town,Own AMI - Weld County,33,3,1
Nunn Town,State Median Income,21,2,1
Oak Creek Town,"Neighboring AMI - Carbon County, WY",94,9,3
Oak Creek Town,Neighboring AMI - Eagle County,123,12,4
Oak Creek Town,Neighboring AMI - Garfield County,107,10,4
Oak Creek Town,Neighboring AMI - Grand County,94,9,3
Oak Creek Town,"Neighboring AMI - Jackson County, Moffat County",94,9,3
Oak Creek Town,Neighboring AMI - Rio Blanco County,94,9,3
Oak Creek Town,Own AMI - Routt County,113,11,4
Oak Creek Town,State Median Income,94,9,3
Olathe Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",167,16,6
Olathe Town,"Neighboring AMI - Grand County, UT, San Juan County, UT",167,16,6
Olathe Town,Neighboring AMI - Gunnison County,166,15,5
Olathe Town,Neighboring AMI - Ouray County,166,15,5
Olathe Town,Neighboring AMI - San Miguel County,195,18,6
Olathe Town,Own AMI - Montrose County,167,16,6
Olathe Town,State Median Income,166,15,5
Olney Springs Town,"Neighboring AMI - Crowley County, Kiowa County, Lincoln County, Otero County, Pueblo County",78,8,3
Olney Springs Town,Neighboring AMI - El Paso County,78,8,3
Olney Springs Town,Own AMI - Crowley County,78,8,3
Olney Springs Town,State Median Income,78,8,3
Ophir Town,"Neighboring AMI - Dolores County, Montrose County, San Juan County",7,1,1
Ophir Town,Neighboring AMI - Ouray County,7,1,1
Ophir Town,"Neighboring AMI - San Juan County, UT",7,1,1
Ophir Town,Own AMI - San Miguel County,9,1,1
Ophir Town,State Median Income,7,1,1
Orchard City Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",231,21,7
Orchard City Town,Neighboring AMI - Gunnison County,230,21,7
Orchard City Town,Own AMI - Delta County,231,21,7
Orchard City Town,State Median Income,230,21,7
Ordway Town,"Neighboring AMI - Crowley County, Kiowa County, Lincoln County, Otero County, Pueblo County",169,16,6
Ordway Town,Neighboring AMI - El Paso County,168,16,6
Ordway Town,Own AMI - Crowley County,169,16,6
Ordway Town,State Median Income,168,16,6
Otero County (Unincorporated),"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",433,39,13
Otero County (Unincorporated),Own AMI - Otero County,433,39,13
Otero County (Unincorporated),State Median Income,433,39,13
Otis Town,"Neighboring AMI - Adams County, Arapahoe County",87,8,3
Otis Town,"Neighboring AMI - Kit Carson County, Lincoln County, Logan County, Morgan County, Washington County, Yuma County",77,7,3
Otis Town,Own AMI - Washington County,77,7,3
Otis Town,State Median Income,77,7,3
Ouray City,Neighboring AMI - Gunnison County,71,7,3
Ouray City,"Neighboring AMI - Hinsdale County, Montrose County, San Juan County",71,7,3
Ouray City,Neighboring AMI - San Miguel County,82,8,3
Ouray City,Own AMI - Ouray County,71,7,3
Ouray City,State Median Income,71,7,3
Ouray County (Unincorporated),Neighboring AMI - Gunnison County,58,6,2
Ouray County (Unincorporated),"Neighboring AMI - Hinsdale County, Montrose County, San Juan County",58,6,2
Ouray County (Unincorporated),Neighboring AMI - San Miguel County,107,10,4
Ouray County (Unincorporated),Own AMI - Ouray County,58,6,2
Ouray County (Unincorporated),State Median Income,58,6,2
Ovid Town,"Neighboring AMI - Cheyenne County, NE",47,5,2
Ovid Town,"Neighboring AMI - Deuel County, NE",47,5,2
Ovid Town,"Neighboring AMI - Logan County, Phillips County, Sedgwick County",47,5,2
Ovid Town,"Neighboring AMI - Perkins County, NE",47,5,2
Ovid Town,Own AMI - Sedgwick County,47,5,2
Ovid Town,State Median Income,47,5,2
Pagosa Springs Town,"Neighboring AMI - Archuleta County, Conejos County, Hinsdale County, Mineral County, Rio Grande County",215,20,7
Pagosa Springs Town,Neighboring AMI - La Plata County,231,21,7
Pagosa Springs Town,"Neighboring AMI - Rio Arriba County, NM",99,9,3
Pagosa Springs Town,"Neighboring AMI - San Juan County, NM",111,10,4
Pagosa Springs Town,Own AMI - Archuleta County,215,20,7
Pagosa Springs Town,State Median Income,214,20,7
Palisade Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",382,35,12
Palisade Town,Neighboring AMI - Garfield County,435,40,14
Palisade Town,"Neighboring AMI - Grand County, UT, San Juan County, UT",382,35,12
Palisade Town,Neighboring AMI - Gunnison County,380,35,12
Palisade Town,Neighboring AMI - Pitkin County,505,46,16
Palisade Town,Own AMI - Mesa County,382,35,12
Palisade Town,State Median Income,380,35,12
Palmer Lake Town,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",74,7,3
Palmer Lake Town,"Neighboring AMI - Douglas County, Elbert County",153,14,5
Palmer Lake Town,Neighboring AMI - Teller County,74,7,3
Palmer Lake Town,Own AMI - El Paso County,74,7,3
Palmer Lake Town,State Median Income,74,7,3
Paoli Town,"Neighboring AMI - Chase County, NE",9,1,1
Paoli Town,"Neighboring AMI - Logan County, Phillips County, Sedgwick County, Yuma County",10,1,1
Paoli Town,"Neighboring AMI - Perkins County, NE",10,1,1
Paoli Town,Own AMI - Phillips County,10,1,1
Paoli Town,State Median Income,10,1,1
Paonia Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",236,22,8
Paonia Town,Neighboring AMI - Gunnison County,235,22,8
Paonia Town,Own AMI - Delta County,236,22,8
Paonia Town,State Median Income,235,22,8
Parachute Town,Neighboring AMI - Eagle County,334,31,11
Parachute Town,"Neighboring AMI - Grand County, UT",253,23,8
Parachute Town,Neighboring AMI - Mesa County,253,23,8
Parachute Town,Neighboring AMI - Pitkin County,314,29,10
Parachute Town,Neighboring AMI - Rio Blanco County,253,23,8
Parachute Town,Neighboring AMI - Routt County,315,29,10
Parachute Town,"Neighboring AMI - Uintah County, UT",253,23,8
Parachute Town,Own AMI - Garfield County,302,28,10
Parachute Town,State Median Income,251,23,8
Park County (Unincorporated),"Neighboring AMI - Chaffee County, Fremont County, Lake County",402,37,13
Park County (Unincorporated),"Neighboring AMI - Clear Creek County, Jefferson County, Park County",720,65,22
Park County (Unincorporated),Neighboring AMI - Summit County,682,62,21
Park County (Unincorporated),Neighboring AMI - Teller County,399,36,12
Park County (Unincorporated),Own AMI - Park County,720,65,22
Park County (Unincorporated),State Median Income,399,36,12
Parker Town,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",2481,224,75
Parker Town,Neighboring AMI - El Paso County,541,49,17
Parker Town,Neighboring AMI - Teller County,546,50,17
Parker Town,Own AMI - Douglas County,2481,224,75
Parker Town,State Median Income,544,49,17
Peetz Town,"Neighboring AMI - Cheyenne County, NE",35,4,2
Peetz Town,"Neighboring AMI - Kimball County, NE",35,4,2
Peetz Town,"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",35,4,2
Peetz Town,Neighboring AMI - Weld County,37,4,2
Peetz Town,Own AMI - Logan County,35,4,2
Peetz Town,State Median Income,35,4,2
Phillips County (Unincorporated),"Neighboring AMI - Chase County, NE",53,5,2
Phillips County (Unincorporated),"Neighboring AMI - Logan County, Phillips County, Sedgwick County, Yuma County",60,6,2
Phillips County (Unincorporated),"Neighboring AMI - Perkins County, NE",60,6,2
Phillips County (Unincorporated),Own AMI - Phillips County,60,6,2
Phillips County (Unincorporated),State Median Income,60,6,2
Pierce Town,"Neighboring AMI - Adams County, Broomfield County",119,11,4
Pierce Town,Neighboring AMI - Boulder County,117,11,4
Pierce Town,"Neighboring AMI - Kimball County, NE",46,5,2
Pierce Town,"Neighboring AMI - Laramie County, WY",90,9,3
Pierce Town,Neighboring AMI - Larimer County,111,10,4
Pierce Town,"Neighboring AMI - Logan County, Morgan County",78,8,3
Pierce Town,Own AMI - Weld County,112,11,4
Pierce Town,State Median Income,78,8,3
Pitkin County (Unincorporated),"Neighboring AMI - Chaffee County, Lake County, Mesa County",131,12,4
Pitkin County (Unincorporated),Neighboring AMI - Eagle County,201,19,7
Pitkin County (Unincorporated),Neighboring AMI - Garfield County,147,14,5
Pitkin County (Unincorporated),Neighboring AMI - Gunnison County,130,12,4
Pitkin County (Unincorporated),Own AMI - Pitkin County,184,17,6
Pitkin County (Unincorporated),State Median Income,130,12,4
Pitkin Town,"Neighboring AMI - Chaffee County, Delta County, Hinsdale County, Mesa County, Montrose County, Saguache County",0,0,0
Pitkin Town,Neighboring AMI - Ouray County,0,0,0
Pitkin Town,Neighboring AMI - Pitkin County,0,0,0
Pitkin Town,Own AMI - Gunnison County,0,0,0
Pitkin Town,State Median Income,0,0,0
Platteville Town,"Neighboring AMI - Adams County, Broomfield County",275,25,9
Platteville Town,Neighboring AMI - Boulder County,273,25,9
Platteville Town,"Neighboring AMI - Kimball County, NE",105,10,4
Platteville Town,"Neighboring AMI - Laramie County, WY",169,16,6
Platteville Town,Neighboring AMI - Larimer County,259,24,8
Platteville Town,"Neighboring AMI - Logan County, Morgan County",143,13,5
Platteville Town,Own AMI - Weld County,263,24,8
Platteville Town,State Median Income,141,13,5
Poncha Springs Town,"Neighboring AMI - Chaffee County, Fremont County, Lake County, Saguache County",58,6,2
Poncha Springs Town,Neighboring AMI - Gunnison County,58,6,2
Poncha Springs Town,Neighboring AMI - Park County,84,8,3
Poncha Springs Town,Neighboring AMI - Pitkin County,83,8,3
Poncha Springs Town,Own AMI - Chaffee County,58,6,2
Poncha Springs Town,State Median Income,58,6,2
Pritchett Town,"Neighboring AMI - Baca County, Bent County, Las Animas County, Prowers County",17,2,1
Pritchett Town,"Neighboring AMI - Cimarron County, OK",17,2,1
Pritchett Town,"Neighboring AMI - Morton County, KS, Stanton County, KS",17,2,1
Pritchett Town,"Neighboring AMI - Union County, NM",17,2,1
Pritchett Town,Own AMI - Baca County,17,2,1
Pritchett Town,State Median Income,17,2,1
Prowers County (Unincorporated),"Neighboring AMI - Baca County, Bent County, Kiowa County, Prowers County",193,18,6
Prowers County (Unincorporated),"Neighboring AMI - Greeley County, KS, Hamilton County, KS, Stanton County, KS",175,16,6
Prowers County (Unincorporated),Own AMI - Prowers County,193,18,6
Prowers County (Unincorporated),State Median Income,192,18,6
Pueblo City,"Neighboring AMI - Crowley County, Custer County, Fremont County, Huerfano County, Las Animas County, Lincoln County, Otero County, Pueblo County",14068,1267,423
Pueblo City,Neighboring AMI - El Paso County,14002,1261,421
Pueblo City,Own AMI - Pueblo County,14068,1267,423
Pueblo City,State Median Income,14021,1262,421
Pueblo County (Unincorporated),"Neighboring AMI - Crowley County, Custer County, Fremont County, Huerfano County, Las Animas County, Lincoln County, Otero County, Pueblo County",3381,305,102
Pueblo County (Unincorporated),Neighboring AMI - El Paso County,3352,302,101
Pueblo County (Unincorporated),Own AMI - Pueblo County,3381,305,102
Pueblo County (Unincorporated),State Median Income,3360,303,101
Ramah Town,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",10,1,1
Ramah Town,"Neighboring AMI - Douglas County, Elbert County",11,1,1
Ramah Town,Neighboring AMI - Teller County,10,1,1
Ramah Town,Own AMI - El Paso County,10,1,1
Ramah Town,State Median Income,10,1,1
Rangely Town,Neighboring AMI - Garfield County,244,22,8
Rangely Town,Neighboring AMI - Moffat County,242,22,8
Rangely Town,Neighboring AMI - Routt County,267,25,9
Rangely Town,"Neighboring AMI - Uintah County, UT",242,22,8
Rangely Town,Own AMI - Rio Blanco County,242,22,8
Rangely Town,State Median Income,242,22,8
Raymer (New Raymer) Town,"Neighboring AMI - Adams County, Broomfield County",26,3,1
Raymer (New Raymer) Town,Neighboring AMI - Boulder County,26,3,1
Raymer (New Raymer) Town,"Neighboring AMI - Kimball County, NE",21,2,1
Raymer (New Raymer) Town,"Neighboring AMI - Laramie County, WY",25,3,1
Raymer (New Raymer) Town,Neighboring AMI - Larimer County,25,3,1
Raymer (New Raymer) Town,"Neighboring AMI - Logan County, Morgan County",22,2,1
Raymer (New Raymer) Town,Own AMI - Weld County,25,3,1
Raymer (New Raymer) Town,State Median Income,22,2,1
Red Cliff Town,Neighboring AMI - Garfield County,6,1,1
Red Cliff Town,Neighboring AMI - Grand County,4,1,1
Red Cliff Town,Neighboring AMI - Lake County,4,1,1
Red Cliff Town,Neighboring AMI - Pitkin County,6,1,1
Red Cliff Town,Neighboring AMI - Routt County,7,1,1
Red Cliff Town,Neighboring AMI - Summit County,6,1,1
Red Cliff Town,Own AMI - Eagle County,15,2,1
Red Cliff Town,State Median Income,4,1,1
Rico Town,"Neighboring AMI - Dolores County, Montezuma County, San Juan County",8,1,1
Rico Town,Neighboring AMI - La Plata County,21,2,1
Rico Town,"Neighboring AMI - San Juan County, UT",8,1,1
Rico Town,Neighboring AMI - San Miguel County,21,2,1
Rico Town,Own AMI - Dolores County,8,1,1
Rico Town,State Median Income,8,1,1
Ridgway Town,Neighboring AMI - Gunnison County,90,9,3
Ridgway Town,"Neighboring AMI - Hinsdale County, Montrose County, San Juan County",92,9,3
Ridgway Town,Neighboring AMI - San Miguel County,175,16,6
Ridgway Town,Own AMI - Ouray County,90,9,3
Ridgway Town,State Median Income,90,9,3
Rifle City,Neighboring AMI - Eagle County,1174,106,36
Rifle City,"Neighboring AMI - Grand County, UT",721,65,22
Rifle City,Neighboring AMI - Mesa County,721,65,22
Rifle City,Neighboring AMI - Pitkin County,1056,96,32
Rifle City,Neighboring AMI - Rio Blanco County,719,65,22
Rifle City,Neighboring AMI - Routt County,1062,96,32
Rifle City,"Neighboring AMI - Uintah County, UT",721,65,22
Rifle City,Own AMI - Garfield County,887,80,27
Rifle City,State Median Income,716,65,22
Rio Blanco County (Unincorporated),Neighboring AMI - Garfield County,37,4,2
Rio Blanco County (Unincorporated),Neighboring AMI - Moffat County,37,4,2
Rio Blanco County (Unincorporated),Neighboring AMI - Routt County,61,6,2
Rio Blanco County (Unincorporated),"Neighboring AMI - Uintah County, UT",37,4,2
Rio Blanco County (Unincorporated),Own AMI - Rio Blanco County,37,4,2
Rio Blanco County (Unincorporated),State Median Income,37,4,2
Rio Grande County (Unincorporated),"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Mineral County, Rio Grande County, Saguache County",330,30,10
Rio Grande County (Unincorporated),Own AMI - Rio Grande County,330,30,10
Rio Grande County (Unincorporated),State Median Income,329,30,10
Rockvale Town,"Neighboring AMI - Chaffee County, Custer County, Fremont County, Pueblo County, Saguache County",100,9,3
Rockvale Town,Neighboring AMI - El Paso County,100,9,3
Rockvale Town,Neighboring AMI - Park County,109,10,4
Rockvale Town,Neighboring AMI - Teller County,100,9,3
Rockvale Town,Own AMI - Fremont County,100,9,3
Rockvale Town,State Median Income,100,9,3
Rocky Ford City,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",365,33,11
Rocky Ford City,Own AMI - Otero County,365,33,11
Rocky Ford City,State Median Income,365,33,11
Romeo Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Costilla County, Rio Grande County",59,6,2
Romeo Town,"Neighboring AMI - Rio Arriba County, NM, Taos County, NM",49,5,2
Romeo Town,Own AMI - Conejos County,59,6,2
Romeo Town,State Median Income,59,6,2
Routt County (Unincorporated),"Neighboring AMI - Carbon County, WY",124,12,4
Routt County (Unincorporated),Neighboring AMI - Eagle County,265,24,8
Routt County (Unincorporated),Neighboring AMI - Garfield County,144,13,5
Routt County (Unincorporated),Neighboring AMI - Grand County,124,12,4
Routt County (Unincorporated),"Neighboring AMI - Jackson County, Moffat County",125,12,4
Routt County (Unincorporated),Neighboring AMI - Rio Blanco County,124,12,4
Routt County (Unincorporated),Own AMI - Routt County,176,16,6
Routt County (Unincorporated),State Median Income,124,12,4
Rye Town,"Neighboring AMI - Crowley County, Custer County, Fremont County, Huerfano County, Las Animas County, Lincoln County, Otero County, Pueblo County",33,3,1
Rye Town,Neighboring AMI - El Paso County,33,3,1
Rye Town,Own AMI - Pueblo County,33,3,1
Rye Town,State Median Income,33,3,1
Saguache County (Unincorporated),"Neighboring AMI - Alamosa County, Chaffee County, Custer County, Fremont County, Hinsdale County, Huerfano County, Mineral County, Rio Grande County, Saguache County",334,31,11
Saguache County (Unincorporated),Neighboring AMI - Gunnison County,333,30,10
Saguache County (Unincorporated),Own AMI - Saguache County,334,31,11
Saguache County (Unincorporated),State Median Income,333,30,10
Saguache Town,"Neighboring AMI - Alamosa County, Chaffee County, Custer County, Fremont County, Hinsdale County, Huerfano County, Mineral County, Rio Grande County, Saguache County",107,10,4
Saguache Town,Neighboring AMI - Gunnison County,107,10,4
Saguache Town,Own AMI - Saguache County,107,10,4
Saguache Town,State Median Income,107,10,4
Salida City,"Neighboring AMI - Chaffee County, Fremont County, Lake County, Saguache County",358,33,11
Salida City,Neighboring AMI - Gunnison County,355,32,11
Salida City,Neighboring AMI - Park County,764,69,23
Salida City,Neighboring AMI - Pitkin County,573,52,18
Salida City,Own AMI - Chaffee County,358,33,11
Salida City,State Median Income,355,32,11
San Juan County (Unincorporated),"Neighboring AMI - Dolores County, Hinsdale County, Montezuma County, San Juan County",NA,NA,NA
San Juan County (Unincorporated),Neighboring AMI - La Plata County,NA,NA,NA
San Juan County (Unincorporated),Neighboring AMI - Ouray County,NA,NA,NA
San Juan County (Unincorporated),Neighboring AMI - San Miguel County,NA,NA,NA
San Juan County (Unincorporated),Own AMI - San Juan County,NA,NA,NA
San Juan County (Unincorporated),State Median Income,NA,NA,NA
San Luis Town,"Neighboring AMI - Alamosa County, Conejos County, Costilla County, Huerfano County, Las Animas County",86,8,3
San Luis Town,"Neighboring AMI - Colfax County, NM, Taos County, NM",81,8,3
San Luis Town,Own AMI - Costilla County,86,8,3
San Luis Town,State Median Income,86,8,3
San Miguel County (Unincorporated),"Neighboring AMI - Dolores County, Montrose County, San Juan County",76,7,3
San Miguel County (Unincorporated),Neighboring AMI - Ouray County,76,7,3
San Miguel County (Unincorporated),"Neighboring AMI - San Juan County, UT",76,7,3
San Miguel County (Unincorporated),Own AMI - San Miguel County,122,11,4
San Miguel County (Unincorporated),State Median Income,76,7,3
Sanford Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Costilla County, Rio Grande County",82,8,3
Sanford Town,"Neighboring AMI - Rio Arriba County, NM, Taos County, NM",69,7,3
Sanford Town,Own AMI - Conejos County,82,8,3
Sanford Town,State Median Income,81,8,3
Sawpit Town,"Neighboring AMI - Dolores County, Montrose County, San Juan County",NA,NA,NA
Sawpit Town,Neighboring AMI - Ouray County,NA,NA,NA
Sawpit Town,"Neighboring AMI - San Juan County, UT",NA,NA,NA
Sawpit Town,Own AMI - San Miguel County,NA,NA,NA
Sawpit Town,State Median Income,NA,NA,NA
Sedgwick County (Unincorporated),"Neighboring AMI - Cheyenne County, NE",21,2,1
Sedgwick County (Unincorporated),"Neighboring AMI - Deuel County, NE",19,2,1
Sedgwick County (Unincorporated),"Neighboring AMI - Logan County, Phillips County, Sedgwick County",21,2,1
Sedgwick County (Unincorporated),"Neighboring AMI - Perkins County, NE",21,2,1
Sedgwick County (Unincorporated),Own AMI - Sedgwick County,21,2,1
Sedgwick County (Unincorporated),State Median Income,21,2,1
Sedgwick Town,"Neighboring AMI - Cheyenne County, NE",46,5,2
Sedgwick Town,"Neighboring AMI - Deuel County, NE",41,4,2
Sedgwick Town,"Neighboring AMI - Logan County, Phillips County, Sedgwick County",46,5,2
Sedgwick Town,"Neighboring AMI - Perkins County, NE",46,5,2
Sedgwick Town,Own AMI - Sedgwick County,46,5,2
Sedgwick Town,State Median Income,46,5,2
Seibert Town,Neighboring AMI - Cheyenne County,25,3,1
Seibert Town,"Neighboring AMI - Cheyenne County, KS",23,3,1
Seibert Town,"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",25,3,1
Seibert Town,"Neighboring AMI - Sherman County, KS",23,3,1
Seibert Town,"Neighboring AMI - Wallace County, KS",25,3,1
Seibert Town,Own AMI - Kit Carson County,25,3,1
Seibert Town,State Median Income,25,3,1
Severance Town,"Neighboring AMI - Adams County, Broomfield County",324,30,10
Severance Town,Neighboring AMI - Boulder County,316,29,10
Severance Town,"Neighboring AMI - Kimball County, NE",110,10,4
Severance Town,"Neighboring AMI - Laramie County, WY",152,14,5
Severance Town,Neighboring AMI - Larimer County,336,31,11
Severance Town,"Neighboring AMI - Logan County, Morgan County",139,13,5
Severance Town,Own AMI - Weld County,348,32,11
Severance Town,State Median Income,137,13,5
Sheridan City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",728,66,22
Sheridan City,"Neighboring AMI - Lincoln County, Washington County",397,36,12
Sheridan City,Own AMI - Arapahoe County,728,66,22
Sheridan City,State Median Income,394,36,12
Sheridan Lake Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Lincoln County, Otero County, Prowers County",7,1,1
Sheridan Lake Town,Neighboring AMI - Cheyenne County,7,1,1
Sheridan Lake Town,"Neighboring AMI - Greeley County, KS",6,1,1
Sheridan Lake Town,Own AMI - Kiowa County,7,1,1
Sheridan Lake Town,State Median Income,7,1,1
Silt Town,Neighboring AMI - Eagle County,317,29,10
Silt Town,"Neighboring AMI - Grand County, UT",134,13,5
Silt Town,Neighboring AMI - Mesa County,134,13,5
Silt Town,Neighboring AMI - Pitkin County,268,25,9
Silt Town,Neighboring AMI - Rio Blanco County,133,12,4
Silt Town,Neighboring AMI - Routt County,270,25,9
Silt Town,"Neighboring AMI - Uintah County, UT",134,13,5
Silt Town,Own AMI - Garfield County,165,15,5
Silt Town,State Median Income,132,12,4
Silver Cliff Town,"Neighboring AMI - Custer County, Fremont County, Huerfano County, Pueblo County, Saguache County",76,7,3
Silver Cliff Town,Own AMI - Custer County,76,7,3
Silver Cliff Town,State Median Income,75,7,3
Silver Plume Town,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County, Park County",29,3,1
Silver Plume Town,Neighboring AMI - Grand County,23,3,1
Silver Plume Town,Neighboring AMI - Summit County,29,3,1
Silver Plume Town,Own AMI - Clear Creek County,29,3,1
Silver Plume Town,State Median Income,23,3,1
Silverthorne Town,"Neighboring AMI - Clear Creek County, Park County",133,12,4
Silverthorne Town,Neighboring AMI - Eagle County,136,13,5
Silverthorne Town,Neighboring AMI - Grand County,52,5,2
Silverthorne Town,Neighboring AMI - Lake County,53,5,2
